wilayah,tahun,harapan_hidup,harapan_hidup_L,harapan_hidup_P,pengeluaran_semua,pengeluaran_makanan,pengeluaran_nonmakanan,jumlah_pdk,jumlah_pdk_L,jumlah_pdk_P,jumlah_rumtang,jumlah_penmiskin,jumlah_dokter,kepadatan_pdk,garis_kemiskinan
Kabupaten Bogor,2021,71.38,69.52,73.25,1220669,612364,608305,5489536,2820924,2668612,1362226,491200.0,441,1965,418483
Kabupaten Sukabumi,2021,71.2,69.27,73.13,1018783,587138,431645,2761476,1403368,1358108,742642,194400.0,204,653,342094
Kabupaten Cianjur,2021,70.34,68.45,72.23,959447,556468,402979,2506682,1285980,1220702,679231,260000.0,256,635,387631
Kabupaten Bandung,2021,73.73,71.94,75.52,1210944,620475,590469,3666156,1869009,1797147,939812,269200.0,163,2055,378819
Kabupaten Garut,2021,71.61,69.74,73.48,831102,503987,327115,2604787,1334360,1270427,650096,281400.0,68,855,320050
Kabupaten Tasikmalaya,2021,69.68,67.78,71.59,884303,498169,386134,1883733,955175,928558,524460,200600.0,36,731,333909
Kabupaten Ciamis,2021,72.05,70.19,73.91,1021571,570810,450761,1237726,619657,618069,368192,96600.0,72,893,389676
Kabupaten Kuningan,2021,73.8,71.98,75.61,1211685,668911,542774,1180391,598254,582137,301470,143400.0,115,1079,358069
Kabupaten Cirebon,2021,72.2,70.34,74.07,1016767,566213,450554,2290967,1161865,1129102,604271,271000.0,311,2402,404635
Kabupaten Majalengka,2021,70.47,68.58,72.37,1095739,609659,486080,1318965,662951,656014,387399,151100.0,58,1099,466813
Kabupaten Sumedang,2021,72.63,70.77,74.49,1144317,617521,526796,1159346,585251,574095,344824,126300.0,47,767,360054
Kabupaten Indramayu,2021,71.87,70.01,73.72,1248638,732021,516617,1851383,930838,920545,538578,228600.0,144,924,481754
Kabupaten Subang,2021,72.61,70.78,74.44,1154420,650018,504402,1608594,806525,802069,456960,159000.0,88,843,360691
Kabupaten Purwakarta,2021,71.19,69.31,73.08,1400487,725561,674926,1011466,513567,497899,264847,84300.0,155,1213,387754
Kabupaten Karawang,2021,72.35,70.5,74.21,1242403,650009,592394,2468576,1250585,1217991,659659,210800.0,313,1457,494201
Kabupaten Bekasi,2021,73.81,71.99,75.63,1588582,788434,800148,3157962,1603356,1554606,850135,202700.0,535,2468,549875
Kabupaten Bandung Barat,2021,72.54,70.7,74.39,952620,536892,415728,1814226,925999,888227,475931,190800.0,79,1364,374470
Kabupaten Pangandaran,2021,71.62,69.75,73.48,1179731,648636,531095,427614,214120,213494,127204,39100.0,11,428,394101
Kota Bogor,2021,73.84,72.02,75.65,1960500,821639,1138861,1052359,533774,518585,259121,80100.0,394,9210,571425
Kota Sukabumi,2021,72.6,70.75,74.44,1483147,665455,817692,350804,176582,174222,89263,27200.0,93,7329,567734
Kota Bandung,2021,74.44,72.71,76.16,2082375,866068,1216307,2452943,1235134,1217809,654898,112500.0,905,15076,515396
Kota Cirebon,2021,72.46,70.61,74.31,1629708,669035,960673,336864,169066,167798,86174,32000.0,131,9199,467248
Kota Bekasi,2021,75.18,73.48,76.89,2488463,989869,1498594,2564941,1291982,1272959,658090,144100.0,821,11947,692885
Kota Depok,2021,74.74,72.87,76.6,2304941,921597,1383344,2085935,1052652,1033283,528111,63900.0,532,9453,705084
Kota Cimahi,2021,74.2,72.45,75.96,1827072,772401,1054671,571632,288362,283270,153772,32500.0,215,14279,522281
Kota Tasikmalaya,2021,72.36,70.52,74.21,1310775,654506,656269,723921,367563,356358,187530,89500.0,119,4263,480341
Kota Banjar,2021,71.19,69.31,73.08,1088977,575841,513136,203417,102081,101336,56274,13400.0,39,1570,357210
Kabupaten Bogor,2022,71.63,69.72,73.54,1377576,709091,668485,5566838,2859683,2707155,1381734,474740.0,596,1830,443787
Kabupaten Sukabumi,2022,71.5,69.53,73.47,1034412,629476,404936,2806664,1425852,1380812,754291,186280.0,173,663,357636
Kabupaten Cianjur,2022,70.56,68.62,72.5,867547,508099,359448,2542793,1304067,1238726,688465,246810.0,90,690,406829
Kabupaten Bandung,2022,73.97,72.14,75.81,1169603,570272,599331,3718660,1895139,1823521,953267,258610.0,247,2130,398884
Kabupaten Garut,2022,71.74,69.74,73.74,858077,522212,335865,2627220,1345400,1281820,655467,276670.0,98,890,335134
Kabupaten Tasikmalaya,2022,69.92,67.97,71.88,985340,588690,396650,1906288,966287,940001,530436,194100.0,32,717,347917
Kabupaten Ciamis,2022,72.3,70.39,74.2,1201396,653024,548372,1247768,624475,623293,370935,93960.0,63,794,405294
Kabupaten Kuningan,2022,74.03,72.18,75.87,1100726,621212,479514,1196017,605970,590047,305336,140250.0,125,1021,371665
Kabupaten Cirebon,2022,72.46,70.54,74.37,1135006,636984,498022,2315417,1173871,1141546,610593,266100.0,321,2239,416914
Kabupaten Majalengka,2022,70.74,68.79,72.68,1029656,555269,474387,1335460,671015,664445,392067,147120.0,63,1007,483319
Kabupaten Sumedang,2022,72.87,70.95,74.78,1333296,686681,646615,1167033,588935,578098,347049,120120.0,69,758,371870
Kabupaten Indramayu,2022,72.14,70.24,74.04,1254515,773639,480876,1871832,940803,931029,544369,225040.0,126,921,499805
Kabupaten Subang,2022,72.91,71.03,74.79,1230677,648749,581928,1624386,814170,810216,461133,155340.0,107,747,372308
Kabupaten Purwakarta,2022,71.44,69.5,73.37,1240484,678666,561818,1028569,522076,506493,269266,83440.0,180,1028,403663
Kabupaten Karawang,2022,72.6,70.69,74.5,1276826,671524,605302,2505247,1268737,1236510,669280,199910.0,319,1312,521158
Kabupaten Bekasi,2022,74.02,72.17,75.87,1754664,818803,935861,3214791,1631660,1583131,865829,201140.0,556,2516,579221
Kabupaten Bandung Barat,2022,72.78,70.88,74.67,1158398,624943,533455,1846969,942395,904574,484301,183670.0,128,1423,393956
Kabupaten Pangandaran,2022,71.85,69.94,73.77,1197041,689789,507252,432380,216434,215946,128537,37910.0,12,387,411174
Kota Bogor,2022,74.1,72.25,75.96,1791592,751435,1040157,1063513,539250,524263,261868,79150.0,373,10003,608949
Kota Sukabumi,2022,72.82,70.92,74.72,1479933,669919,810014,356410,179344,177066,90689,26590.0,119,7428,594118
Kota Bandung,2022,74.69,72.92,76.46,2078106,846344,1231762,2461553,1239053,1222500,657197,109820.0,2286,15277,545675
Kota Cirebon,2022,72.72,70.82,74.61,1559130,708258,850872,341235,171202,170033,87292,31470.0,154,8778,485613
